Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,Uitslag,Setstanden,Uitslag reserven,Setstanden reserven
2de Divisie Heren B,H2B-0005,28/09/2019,17:30,AMIGOS VAN PELT SINT-ANTONIUS ZOERSEL B,VBT MACHELEN,"Van Pelt Arena, St-Antonius Zoersel",,,,
2de Divisie Heren B,H2B-0011,05/10/2019,20:30,VBT MACHELEN,TOPSPORT SCHOOL VILVOORDE B,"Sporthal Bosveld, Machelen",,,,
2de Divisie Heren B,H2B-0015,12/10/2019,20:30,VC SMASH LIER ,VBT MACHELEN,"Stedelijke Sporthal, Lier",,,,
2de Divisie Heren B,H2B-0023,19/10/2019,20:30,VBT MACHELEN,BMV BEVEREN MELSELE ,"Sporthal Bosveld, Machelen",,,,
2de Divisie Heren B,H2B-0025,02/11/2019,17:30,HELLVOC HEMIKSEM-SCHELLE B,VBT MACHELEN,"Gem. Sportcentrum, Hemiksem",,,,
2de Divisie Heren B,H2B-0035,09/11/2019,20:30,VBT MACHELEN,VCV LEEFDAAL-BERTEM,"Sporthal Bosveld, Machelen",,,,
2de Divisie Heren B,H2B-0040,17/11/2019,18:00,DAVOC LOT ,VBT MACHELEN,"Sportcomplex Vogelenzang, Lot",,,,
2de Divisie Heren B,H2B-0046,30/11/2019,20:30,VBT MACHELEN,VC TESLA LINT B,"Sporthal Bosveld, Machelen",,,,
2de Divisie Heren B,H2B-0052,07/12/2019,20:30,VOLMAR EKEREN,VBT MACHELEN,"Koninklijk Atheneum, Ekeren",,,,
2de Divisie Heren B,H2B-0060,14/12/2019,20:30,VBT MACHELEN,VC HEIST DELHAIZE HERENTHOUT A,"Sporthal Bosveld, Machelen",,,,
2de Divisie Heren B,H2B-0064,21/12/2019,20:30,GEEL ZWART WIJNEGEM,VBT MACHELEN,Gem. Sportcentrum Wijnegem,,,,
2de Divisie Heren B,H2B-0071,11/01/2020,20:30,VBT MACHELEN,AMIGOS VAN PELT SINT-ANTONIUS ZOERSEL B,"Sporthal Bosveld, Machelen",,,,
2de Divisie Heren B,H2B-0078,19/01/2020,15:00,TOPSPORT SCHOOL VILVOORDE B,VBT MACHELEN,EVC Vilvoorde,,,,
2de Divisie Heren B,H2B-0083,25/01/2020,20:30,VBT MACHELEN,VC SMASH LIER ,"Sporthal Bosveld, Machelen",,,,
2de Divisie Heren B,H2B-0088,15/02/2020,20:30,BMV BEVEREN MELSELE ,VBT MACHELEN,"Sporthal ´t Wit Zand, Melsele",,,,
2de Divisie Heren B,H2B-0095,22/02/2020,20:30,VBT MACHELEN,HELLVOC HEMIKSEM-SCHELLE B,"Sporthal Bosveld, Machelen",,,,
2de Divisie Heren B,H2B-0098,29/02/2020,20:30,VCV LEEFDAAL-BERTEM,VBT MACHELEN,"Gem. Sportzaal, Leefdaal",,,,
2de Divisie Heren B,H2B-0106,14/03/2020,20:30,VBT MACHELEN,DAVOC LOT ,"Sporthal Bosveld, Machelen",,,,
2de Divisie Heren B,H2B-0110,21/03/2020,17:00,VC TESLA LINT B,VBT MACHELEN,Centrum De Witte Merel zaal A,,,,
2de Divisie Heren B,H2B-0118,28/03/2020,20:30,VBT MACHELEN,VOLMAR EKEREN,"Sporthal Bosveld, Machelen",,,,
2de Divisie Heren B,H2B-0126,18/04/2020,20:30,VC HEIST DELHAIZE HERENTHOUT A,VBT MACHELEN,"Sporthal ´t Kapelleke, Herenthout",,,,
2de Divisie Heren B,H2B-0132,25/04/2020,20:30,VBT MACHELEN,GEEL ZWART WIJNEGEM,"Sporthal Bosveld, Machelen",,,,
Vlaamse Beker - Heren,VBH-0005,26/10/2019,20:30,VBT MACHELEN (2de Divisie),VOLMAR EKEREN (2de Divisie),"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0011,29/09/2019,11:00,LIZARDS LUBBEEK-LEUVEN C,VBT MACHELEN C,Sporthal Korbeek-Lo,,,,
3de Provinciale Mannen A,3PMA-0010,05/10/2019,20:00,KLB SOLLENBEEMD HALLE,VBT MACHELEN C,"Sportcomplex De Bres, Halle",,,,
3de Provinciale Mannen A,3PMA-0001,12/10/2019,20:00,VBT MACHELEN C,DAVOC LOT C,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0017,19/10/2019,20:00,VBT MACHELEN C,V.C. ZAVATH ZAVENTEM,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0033,03/11/2019,18:30,VOLLEY OPWIJK - LINDEMANS AALST,VBT MACHELEN C,"Sporthal PIVO, Relegem",,,,
3de Provinciale Mannen A,3PMA-0027,09/11/2019,20:00,VBT MACHELEN C,VELVOC VELTEM-BEISEM B,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0067,23/11/2019,20:00,VBT MACHELEN C,WOLVERTEM SPORTING B,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0037,30/11/2019,20:00,VBT MACHELEN C,RUISBROEK 84,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0044,07/12/2019,20:00,VOLLEY SCHEPDAAL VZW B,VBT MACHELEN C,"Sporthal Caerenbergveld, Schepdaal",,,,
3de Provinciale Mannen A,3PMA-0051,18/01/2020,20:00,VBT MACHELEN C,KLB SOLLENBEEMD HALLE,"Sporthal Bosveld, Machelen",,,,
