Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,Uitslag,Setstanden,Uitslag reserven,Setstanden reserven
2de Divisie Heren B,H2B-0005,28/09/2019,17:30,AMIGOS VAN PELT SINT-ANTONIUS ZOERSEL B,VBT MACHELEN,"Van Pelt Arena, St-Antonius Zoersel",3 - 0,"25/22, 25/20, 25/19",2 - 1,"27/25, 25/20, 8/15"
2de Divisie Heren B,H2B-0011,05/10/2019,20:30,VBT MACHELEN,TOPSPORT SCHOOL VILVOORDE B,"Sporthal Bosveld, Machelen",3 - 0,"25/17, 27/25, 25/15",2 - 1,"25/21, 25/20, 13/15"
2de Divisie Heren B,H2B-0015,12/10/2019,20:30,VC SMASH LIER ,VBT MACHELEN,"Stedelijke Sporthal, Lier",3 - 1,"27/29, 25/21, 25/23, 25/22",2 - 1,"21/25, 25/22, 15/8"
2de Divisie Heren B,H2B-0023,19/10/2019,20:30,VBT MACHELEN,BMV BEVEREN MELSELE ,"Sporthal Bosveld, Machelen",3 - 0,"25/20, 25/23, 25/19",2 - 1,"25/23, 23/25, 15/11"
2de Divisie Heren B,H2B-0025,02/11/2019,17:30,HELLVOC HEMIKSEM-SCHELLE B,VBT MACHELEN,"Gem. Sportcentrum, Hemiksem",3 - 0,"25/17, 25/15, 25/19",3 - 0,"25/12, 25/17, 15/11"
2de Divisie Heren B,H2B-0035,09/11/2019,20:30,VBT MACHELEN,VCV LEEFDAAL-BERTEM,"Sporthal Bosveld, Machelen",3 - 0,"25/20, 25/22, 25/14",1 - 2,"17/25, 14/25, 16/14"
2de Divisie Heren B,H2B-0040,17/11/2019,18:00,DAVOC LOT ,VBT MACHELEN,"Sportcomplex Vogelenzang, Lot",3 - 2,"26/24, 14/25, 22/25, 25/16, 15/7",0 - 3,"16/25, 18/25, 17/19"
2de Divisie Heren B,H2B-0046,30/11/2019,20:30,VBT MACHELEN,VC TESLA LINT B,"Sporthal Bosveld, Machelen",3 - 0,"27/25, 25/22, 25/22",2 - 1,"25/19, 16/25, 16/14"
2de Divisie Heren B,H2B-0052,07/12/2019,20:30,VOLMAR EKEREN,VBT MACHELEN,"Koninklijk Atheneum, Ekeren",2 - 3,"25/17, 17/25, 20/25, 25/19, 11/15",1 - 2,"15/25, 23/25, 11/3"
2de Divisie Heren B,H2B-0060,14/12/2019,20:30,VBT MACHELEN,VC HEIST DELHAIZE HERENTHOUT A,"Sporthal Bosveld, Machelen",3 - 0,"25/13, 25/18, 25/17",3 - 0,"25/22, 25/22, 15/10"
