Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,Uitslag,Setstanden,Uitslag reserven,Setstanden reserven
2de Provinciale Mannen B,2PMB-0109,17/03/2019,18:00,KRUIKENBURG TERNAT heren B,VBT MACHELEN B,Sporthal Kruikenburg,,,,
2de Provinciale Mannen B,2PMB-0117,23/03/2019,16:00,VBT MACHELEN B,WOLVERTEM SPORTING A,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Mannen B,2PMB-0059,30/03/2019,15:00,VBT MACHELEN B,KEVOC KEERBERGEN B,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Mannen B,2PMB-0131,06/04/2019,16:00,VBT MACHELEN B,VOLLEY OPWIJK,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0001,15/09/2018,20:00,VBT MACHELEN C,RUISBROEK 84,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0008,22/09/2018,14:30,VC LENNIK HEREN A,VBT MACHELEN C,"Gem. Sporthal Jo Baetens, Lennik",,,,
3de Provinciale Mannen A,3PMA-0013,29/09/2018,20:00,VBT MACHELEN C,LIZARDS LUBBEEK-LEUVEN D,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0022,06/10/2018,16:00,VC LENNIK HEREN B,VBT MACHELEN C,"Gem. Sporthal Jo Baetens, Lennik",,,,
3de Provinciale Mannen A,3PMA-0025,13/10/2018,20:00,VBT MACHELEN C,VC FENIKS HAACHT E,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0036,20/10/2018,18:00,V.C. ZAVATH ZAVENTEM,VBT MACHELEN C,"Gemeentelijke Sporthal, Zaventem",,,,
3de Provinciale Mannen A,3PMA-0085,03/11/2018,20:00,VBT MACHELEN C,VC LENNIK HEREN B,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0037,10/11/2018,20:00,VBT MACHELEN C,KLB SOLLENBEEMD HALLE,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0045,24/11/2018,20:30,WOLVERTEM SPORTING B,VBT MACHELEN C,"Sportschuur, Wolvertem",,,,
3de Provinciale Mannen A,3PMA-0049,01/12/2018,20:30,VBT MACHELEN C,DAVOC LOT C,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0055,08/12/2018,20:00,VBT MACHELEN C,VOLLEY SCHEPDAAL VZW B,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0065,15/12/2018,15:00,VOLLEY OPWIJK - LINDEMANS AALST,VBT MACHELEN C,"Sporthal PIVO, Relegem",,,,
3de Provinciale Mannen A,3PMA-0067,22/12/2018,20:00,RUISBROEK 84,VBT MACHELEN C,"Sporthal A.J. Braillard, Ruisbroek",,,,
